"","mpg","milage","maketype","car_id","region","year","price","link","make","type","dealer","sold","scrapedate"
"250","13.9",236000,"Toyota Avensis 1,8 VVT-i Sol stc. 5d","5526707","København",2004,29999,"https://bilbasen.dk/brugt/bil/toyota/avensis/18-vvt-i-sol-stc-5d/5526707","Toyota","Avensis","1ed4283a-6467-41e6-bb49-ac3730a80987",0,"2022-11-08 22:29:38.772658"
"251","11.8",148000,"Volvo S40 2,4 Summum 4d","5620998","Syd- og Vestsjælland",2005,38900,"https://bilbasen.dk/brugt/bil/volvo/s40/24-summum-4d/5620998","Volvo","S40",NA,0,"2022-11-08 22:29:38.772658"
"252","14.9",90000,"Toyota Avensis 1,8 VVT-i T2 stc. E-CVT 5d","5482526","Syd- og Vestsjælland",2009,120000,"https://bilbasen.dk/brugt/bil/toyota/avensis/18-vvt-i-t2-stc-e-cvt-5d/5482526","Toyota","Avensis","bbf80f64-7994-499b-88c3-f8656e19ce83",0,"2022-11-08 22:29:38.772658"
"253","10.4",189000,"Toyota Avensis 2,4 Sol stc. aut. 5d","5436073","København",2006,54900,"https://bilbasen.dk/brugt/bil/toyota/avensis/24-sol-stc-aut-5d/5436073","Toyota","Avensis","0b496efc-45ce-4fd3-9438-1b6505e4732c",0,"2022-11-08 22:29:38.772658"
"254","13.0",55000,"Ford Focus 2,3 SCTi 350 RS 5d","5510275","København",2017,399900,"https://bilbasen.dk/brugt/bil/ford/focus/23-scti-350-rs-5d/5510275","Ford","Focus","NA",0,"2022-11-08 22:29:38.772658"
"255","14.1",196000,"Toyota Auris 1,6 Luna 5d","5601024","København",2008,49900,"https://bilbasen.dk/brugt/bil/toyota/auris/16-luna-5d/5601024","Toyota","Auris","1b7a135b-d63b-42be-a550-f912882f9fef",0,"2022-11-08 22:29:38.772658"
"256","20.0",55000,"Ford Focus 1,5 EcoBoost Titanium stc. aut. 5d","5541139","Østjylland",2020,269900,"https://bilbasen.dk/brugt/bil/ford/focus/15-ecoboost-titanium-stc-aut-5d/5541139","Ford","Focus","cc99c11a-9d11-4e69-8456-84ce70891e2e",0,"2022-11-08 22:29:38.772658"
"257","16.9",107000,"Toyota Auris 1,3 T2 5d","5601026","Nordsjælland",2010,74900,"https://bilbasen.dk/brugt/bil/toyota/auris/13-t2-5d/5601026","Toyota","Auris","70da5fa5-6af4-45c0-b207-d85ca4de0caf",0,"2022-11-08 22:29:38.772658"
"258","23.3",127000,"Ford Fiesta 1,0 SCTi 100 Trend 5d","5395738","København",2015,79900,"https://bilbasen.dk/brugt/bil/ford/fiesta/10-scti-100-trend-5d/5395738","Ford","Fiesta","7a0e8386-d233-48fc-871d-70721e68c869",0,"2022-11-08 22:29:38.772658"
"259","22.0",10000,"Ford Focus 1,0 EcoBoost mHEV Titanium X stc. DCT 5d","5585859","Syd- og Sønderjylland",2022,319900,"https://bilbasen.dk/brugt/bil/ford/focus/10-ecoboost-mhev-titanium-x-stc-dct-5d/5585859","Ford","Focus","24cd8fb0-5249-4910-91f2-f21dd1ac1830",0,"2022-11-08 22:29:38.772658"
"260","14.9",64053,"Toyota Verso 1,8 VVT-i T2 Premium 7prs 5d","5489915","Syd- og Sønderjylland",2018,244900,"https://bilbasen.dk/brugt/bil/toyota/verso/18-vvt-i-t2-premium-7prs-5d/5489915","Toyota","Verso","59eb5495-8e65-42ed-ae4d-d9a0f5fa9337",0,"2022-11-08 22:29:38.772658"
"261","13.0",58000,"Ford Focus 2,3 SCTi 350 RS 5d","5463196","København",2017,399900,"https://bilbasen.dk/brugt/bil/ford/focus/23-scti-350-rs-5d/5463196","Ford","Focus","NA",0,"2022-11-08 22:29:38.772658"
"262","22.4",9000,"Ford Focus 1,0 EcoBoost mHEV ST-Line X stc. 5d","5585865","København",2021,294900,"https://bilbasen.dk/brugt/bil/ford/focus/10-ecoboost-mhev-st-line-x-stc-5d/5585865","Ford","Focus","8e92813e-44a5-4c84-b409-fac7f0eb4489",0,"2022-11-08 22:29:38.772658"
"263","22.4",9000,"Ford Focus 1,0 EcoBoost mHEV ST-Line X stc. 5d","5585844","København",2021,294900,"https://bilbasen.dk/brugt/bil/ford/focus/10-ecoboost-mhev-st-line-x-stc-5d/5585844","Ford","Focus","8e92813e-44a5-4c84-b409-fac7f0eb4489",0,"2022-11-08 22:29:38.772658"
"264","22.2",143000,"Ford Fiesta 1,0 SCTi 140 ST-Line 5d","5489861","Østjylland",2017,109900,"https://bilbasen.dk/brugt/bil/ford/fiesta/10-scti-140-st-line-5d/5489861","Ford","Fiesta","NA",0,"2022-11-08 22:29:38.772658"
"265","6.9",197000,"Toyota Land Cruiser 4,7 V8 LS aut. 5d","5503449","København",2007,449990,"https://bilbasen.dk/brugt/bil/toyota/land-cruiser/47-v8-ls-aut-5d/5503449","Toyota","Land","24168057-6859-4a6a-9001-46313605bec1",0,"2022-11-08 22:29:38.772658"
"266","18.2",149000,"Toyota Verso-S 1,3 VVT-i T2 5d","5516156","København",2013,99900,"https://bilbasen.dk/brugt/bil/toyota/verso-s/13-vvt-i-t2-5d/5516156","Toyota","Verso-S","299d101d-27db-43ba-8a51-2981f6cc5142",0,"2022-11-08 22:29:38.772658"
"267","21.7",95000,"Ford Fiesta 1,0 EcoBoost Cool & Connect aut. 5d","5442582","Vestjylland",2018,149900,"https://bilbasen.dk/brugt/bil/ford/fiesta/10-ecoboost-cool-connect-aut-5d/5442582","Ford","Fiesta","be24bc24-8408-47b2-8729-e149d913d928",0,"2022-11-08 22:29:38.772658"
"268","19.0",26000,"Ford Focus 1,0 EcoBoost ST-Line stc. aut. 5d","5585799","Nordsjælland",2019,259800,"https://bilbasen.dk/brugt/bil/ford/focus/10-ecoboost-st-line-stc-aut-5d/5585799","Ford","Focus","631c3a6e-d1cd-430d-9985-05ae242d40ef",0,"2022-11-08 22:29:38.772658"
"269","23.3",153000,"Ford Fiesta 1,0 SCTi 100 Titanium 5d","5409742","Syd- og Sønderjylland",2014,74900,"https://bilbasen.dk/brugt/bil/ford/fiesta/10-scti-100-titanium-5d/5409742","Ford","Fiesta","a9160e6d-a7a7-417f-863d-a1d30bb132d6",0,"2022-11-08 22:29:38.772658"
"270","15.4",73471,"Ford Mondeo 1,5 SCTi 160 Titanium stc. aut. 5d","5540887","Nordsjælland",2017,209800,"https://bilbasen.dk/brugt/bil/ford/mondeo/15-scti-160-titanium-stc-aut-5d/5540887","Ford","Mondeo","631c3a6e-d1cd-430d-9985-05ae242d40ef",0,"2022-11-08 22:29:38.772658"
"271","21.6",20000,"Toyota Yaris 1,5 VVT-iE T3 Smart 5d","5614430","Syd- og Vestsjælland",2019,159850,"https://bilbasen.dk/brugt/bil/toyota/yaris/15-vvt-ie-t3-smart-5d/5614430","Toyota","Yaris","0775fc8c-1b73-4fdf-ba20-ae4588723b19",0,"2022-11-08 22:29:38.772658"
"272","18.2",51000,"Ford Focus 1,0 SCTi 125 Fun stc. aut. 5d","5435924","Nordsjælland",2017,199900,"https://bilbasen.dk/brugt/bil/ford/focus/10-scti-125-fun-stc-aut-5d/5435924","Ford","Focus","6247155f-072d-4f44-a43c-ff4614d7cd1b",0,"2022-11-08 22:29:38.772658"
"273","19.2",40000,"Ford EcoSport 1,0 EcoBoost ST-Line 5d","5558282","Østjylland",2018,184900,"https://bilbasen.dk/brugt/bil/ford/ecosport/10-ecoboost-st-line-5d/5558282","Ford","EcoSport","d52f38c5-126a-452d-a510-9c64bf472284",0,"2022-11-08 22:29:38.772658"
"274","28.9",28500,"Toyota Aygo 1,0 VVT-i x-sky 5d","5585719","Nordjylland",2020,124900,"https://bilbasen.dk/brugt/bil/toyota/aygo/10-vvt-i-x-sky-5d/5585719","Toyota","Aygo","486d4395-cb1a-4afe-b8c3-7bcad705d450",0,"2022-11-08 22:29:38.772658"
"275","26.3",113000,"Toyota Aygo 1,0 VVT-i x-clusiv 5d","5592921","Østjylland",2014,64900,"https://bilbasen.dk/brugt/bil/toyota/aygo/10-vvt-i-x-clusiv-5d/5592921","Toyota","Aygo",NA,0,"2022-11-08 22:29:38.772658"
"276","21.6",10000,"Ford Puma 1,0 EcoBoost mHEV ST-Line X 5d","5600874","Syd- og Sønderjylland",2021,299900,"https://bilbasen.dk/brugt/bil/ford/puma/10-ecoboost-mhev-st-line-x-5d/5600874","Ford","Puma","24cd8fb0-5249-4910-91f2-f21dd1ac1830",0,"2022-11-08 22:29:38.772658"
"277","24.2",5000,"Ford Fiesta 1,0 EcoBoost mHEV ST-Line 5d","5600875","København",2022,209900,"https://bilbasen.dk/brugt/bil/ford/fiesta/10-ecoboost-mhev-st-line-5d/5600875","Ford","Fiesta","cde6e4ff-22fa-4caf-973c-6f7880fb89a0",0,"2022-11-08 22:29:38.772658"
"278","13.3",307000,"Volvo V70 1,6 T4 180 Kinetic aut. 5d","5625059","Syd- og Vestsjælland",2011,99850,"https://bilbasen.dk/brugt/bil/volvo/v70/16-t4-180-kinetic-aut-5d/5625059","Volvo","V70","0775fc8c-1b73-4fdf-ba20-ae4588723b19",0,"2022-11-08 22:29:38.772658"
"279","12.0",188000,"Volvo V60 2,0 T5 240 R-Design aut. 5d","5250348","Østjylland",2012,189900,"https://bilbasen.dk/brugt/bil/volvo/v60/20-t5-240-r-design-aut-5d/5250348","Volvo","V60","4a9158bc-529b-490f-8420-a34ee6be4011",0,"2022-11-08 22:29:38.772658"
"280","18.3",100,"Ford Kuga 1,5 EcoBoost ST-Line X 5d","5614388","Syd- og Sønderjylland",2022,424900,"https://bilbasen.dk/brugt/bil/ford/kuga/15-ecoboost-st-line-x-5d/5614388","Ford","Kuga","4338dc84-5fc9-4893-a8ef-bbcba61157b2",0,"2022-11-08 22:29:38.772658"
"281","19.2",8000,"Ford Focus 1,0 EcoBoost ST-Line stc. aut. 5d","5600839","København",2021,299900,"https://bilbasen.dk/brugt/bil/ford/focus/10-ecoboost-st-line-stc-aut-5d/5600839","Ford","Focus","cde6e4ff-22fa-4caf-973c-6f7880fb89a0",0,"2022-11-08 22:29:38.772658"
"282","22.0",5154,"Ford Focus 1,0 EcoBoost mHEV Titanium stc. DCT 5d","5600803","København",2022,319900,"https://bilbasen.dk/brugt/bil/ford/focus/10-ecoboost-mhev-titanium-stc-dct-5d/5600803","Ford","Focus","cde6e4ff-22fa-4caf-973c-6f7880fb89a0",0,"2022-11-08 22:29:38.772658"
"283","21.6",48000,"Toyota Yaris 1,5 VVT-iE T3 Smart 5d","5526500","Østjylland",2019,154900,"https://bilbasen.dk/brugt/bil/toyota/yaris/15-vvt-ie-t3-smart-5d/5526500","Toyota","Yaris","5854ba74-c2bb-4979-ab9e-74494649bbee",0,"2022-11-08 22:29:38.772658"
"284","28.9",9800,"Toyota Aygo 1,0 VVT-i x-cellence 5d","5592881","København",2018,99900,"https://bilbasen.dk/brugt/bil/toyota/aygo/10-vvt-i-x-cellence-5d/5592881","Toyota","Aygo","1f58201d-1b82-482b-9cb2-deb68ec9677d",0,"2022-11-08 22:29:38.772658"
"285","22.0",9000,"Ford Focus 1,0 EcoBoost mHEV Titanium stc. DCT 5d","5600790","København",2022,324900,"https://bilbasen.dk/brugt/bil/ford/focus/10-ecoboost-mhev-titanium-stc-dct-5d/5600790","Ford","Focus","cde6e4ff-22fa-4caf-973c-6f7880fb89a0",0,"2022-11-08 22:29:38.772658"
